,0
793,"40.1,-88.6"
794,"41.1,-88.6"
795,"42.1,-88.6"
796,"43.1,-88.6"
797,"44.1,-88.6"
798,"45.1,-88.6"
799,"46.1,-88.6"
800,"47.1,-88.6"
801,"48.1,-88.6"
802,"29.1,-87.6"
803,"30.1,-87.6"
804,"31.1,-87.6"
805,"32.1,-87.6"
806,"33.1,-87.6"
807,"34.1,-87.6"
808,"35.1,-87.6"
809,"36.1,-87.6"
810,"37.1,-87.6"
811,"38.1,-87.6"
812,"39.1,-87.6"
813,"40.1,-87.6"
814,"41.1,-87.6"
815,"42.1,-87.6"
816,"43.1,-87.6"
817,"44.1,-87.6"
818,"45.1,-87.6"
819,"46.1,-87.6"
820,"47.1,-87.6"
821,"48.1,-87.6"
822,"29.1,-86.6"
823,"30.1,-86.6"
824,"31.1,-86.6"
825,"32.1,-86.6"
826,"33.1,-86.6"
827,"34.1,-86.6"
828,"35.1,-86.6"
829,"36.1,-86.6"
830,"37.1,-86.6"
831,"38.1,-86.6"
832,"39.1,-86.6"
833,"40.1,-86.6"
834,"41.1,-86.6"
835,"42.1,-86.6"
836,"43.1,-86.6"
837,"44.1,-86.6"
838,"45.1,-86.6"
839,"46.1,-86.6"
840,"47.1,-86.6"
841,"48.1,-86.6"
842,"29.1,-85.6"
843,"30.1,-85.6"
844,"31.1,-85.6"
845,"32.1,-85.6"
846,"33.1,-85.6"
847,"34.1,-85.6"
848,"35.1,-85.6"
849,"36.1,-85.6"
850,"37.1,-85.6"
851,"38.1,-85.6"
852,"39.1,-85.6"
853,"40.1,-85.6"
854,"41.1,-85.6"
855,"42.1,-85.6"
856,"43.1,-85.6"
857,"44.1,-85.6"
858,"45.1,-85.6"
859,"46.1,-85.6"
860,"47.1,-85.6"
861,"48.1,-85.6"
862,"29.1,-84.6"
863,"30.1,-84.6"
864,"31.1,-84.6"
865,"32.1,-84.6"
866,"33.1,-84.6"
867,"34.1,-84.6"
868,"35.1,-84.6"
869,"36.1,-84.6"
870,"37.1,-84.6"
871,"38.1,-84.6"
872,"39.1,-84.6"
873,"40.1,-84.6"
874,"41.1,-84.6"
875,"42.1,-84.6"
876,"43.1,-84.6"
877,"44.1,-84.6"
878,"45.1,-84.6"
879,"46.1,-84.6"
880,"47.1,-84.6"
881,"48.1,-84.6"
882,"29.1,-83.6"
883,"30.1,-83.6"
884,"31.1,-83.6"
885,"32.1,-83.6"
886,"33.1,-83.6"
887,"34.1,-83.6"
888,"35.1,-83.6"
889,"36.1,-83.6"
890,"37.1,-83.6"
891,"38.1,-83.6"
892,"39.1,-83.6"
893,"40.1,-83.6"
894,"41.1,-83.6"
895,"42.1,-83.6"
896,"43.1,-83.6"
897,"44.1,-83.6"
898,"45.1,-83.6"
899,"46.1,-83.6"
900,"47.1,-83.6"
901,"48.1,-83.6"
902,"23.1,-82.6"
903,"24.1,-82.6"
904,"25.1,-82.6"
905,"26.1,-82.6"
906,"27.1,-82.6"
907,"28.1,-82.6"
908,"29.1,-82.6"
909,"30.1,-82.6"
910,"31.1,-82.6"
911,"32.1,-82.6"
912,"33.1,-82.6"
913,"34.1,-82.6"
914,"35.1,-82.6"
915,"36.1,-82.6"
916,"37.1,-82.6"
917,"38.1,-82.6"
918,"39.1,-82.6"
919,"40.1,-82.6"
920,"41.1,-82.6"
921,"42.1,-82.6"
922,"43.1,-82.6"
923,"44.1,-82.6"
924,"45.1,-82.6"
925,"46.1,-82.6"
926,"47.1,-82.6"
927,"48.1,-82.6"
928,"23.1,-81.6"
929,"24.1,-81.6"
930,"25.1,-81.6"
