Category,Resource,State,Year,Month,Value(thousand Mcf),state_year_month
Total consumption , natural gas , Alaska ,2007,12,3382.619, Alaska 200712
Total consumption , natural gas , Alaska ,2007,11,3777.754, Alaska 200711
Total consumption , natural gas , Alaska ,2007,10,3905.23, Alaska 200710
Total consumption , natural gas , Alaska ,2007,9,3508.415, Alaska 20079
Total consumption , natural gas , Alaska ,2007,8,3095.804, Alaska 20078
Total consumption , natural gas , Alaska ,2007,7,3149.804, Alaska 20077
Total consumption , natural gas , Alaska ,2007,6,3180.395, Alaska 20076
Total consumption , natural gas , Alaska ,2007,5,3099.493, Alaska 20075
Total consumption , natural gas , Alaska ,2007,4,3197.76, Alaska 20074
Total consumption , natural gas , Alaska ,2007,3,3538.873, Alaska 20073
Total consumption , natural gas , Alaska ,2007,2,3234.892, Alaska 20072
Total consumption , natural gas , Alaska ,2007,1,3830.18, Alaska 20071
Total consumption , natural gas , Alaska ,2006,12,4028.96907, Alaska 200612
Total consumption , natural gas , Alaska ,2006,11,3947.15926, Alaska 200611
Total consumption , natural gas , Alaska ,2006,10,3616.27366, Alaska 200610
Total consumption , natural gas , Alaska ,2006,9,3237.46988, Alaska 20069
Total consumption , natural gas , Alaska ,2006,8,3740.55016, Alaska 20068
Total consumption , natural gas , Alaska ,2006,7,3799.85573, Alaska 20067
Total consumption , natural gas , Alaska ,2006,6,3641.10094, Alaska 20066
Total consumption , natural gas , Alaska ,2006,5,3327.12556, Alaska 20065
Total consumption , natural gas , Alaska ,2006,4,3174.00128, Alaska 20064
Total consumption , natural gas , Alaska ,2006,3,3554.45627, Alaska 20063
Total consumption , natural gas , Alaska ,2006,2,3390.24888, Alaska 20062
Total consumption , natural gas , Alaska ,2006,1,3831.21031, Alaska 20061
Total consumption , natural gas , Alaska ,2005,12,3775.7962, Alaska 200512
Total consumption , natural gas , Alaska ,2005,11,3443.22782, Alaska 200511
Total consumption , natural gas , Alaska ,2005,10,3507.42081, Alaska 200510
Total consumption , natural gas , Alaska ,2005,9,3156.7639, Alaska 20059
Total consumption , natural gas , Alaska ,2005,8,3808.98181, Alaska 20058
Total consumption , natural gas , Alaska ,2005,7,3526.75791, Alaska 20057
Total consumption , natural gas , Alaska ,2005,6,2967.98114, Alaska 20056
Total consumption , natural gas , Alaska ,2005,5,2815.1723, Alaska 20055
Total consumption , natural gas , Alaska ,2005,4,2768.72035, Alaska 20054
Total consumption , natural gas , Alaska ,2005,3,3098.40984, Alaska 20053
Total consumption , natural gas , Alaska ,2005,2,2992.77911, Alaska 20052
Total consumption , natural gas , Alaska ,2005,1,3421.80084, Alaska 20051
Total consumption , natural gas , Alaska ,2004,12,3762.12969, Alaska 200412
Total consumption , natural gas , Alaska ,2004,11,3002.83744, Alaska 200411
Total consumption , natural gas , Alaska ,2004,10,2787.76386, Alaska 200410
Total consumption , natural gas , Alaska ,2004,9,2998.88895, Alaska 20049
Total consumption , natural gas , Alaska ,2004,8,2960.36564, Alaska 20048
Total consumption , natural gas , Alaska ,2004,7,3317.471, Alaska 20047
Total consumption , natural gas , Alaska ,2004,6,3275.32719, Alaska 20046
Total consumption , natural gas , Alaska ,2004,5,3026.63621, Alaska 20045
Total consumption , natural gas , Alaska ,2004,4,2639.8909, Alaska 20044
Total consumption , natural gas , Alaska ,2004,3,2860.17918, Alaska 20043
Total consumption , natural gas , Alaska ,2004,2,3315.7884, Alaska 20042
Total consumption , natural gas , Alaska ,2004,1,3693.53755, Alaska 20041
Total consumption , natural gas , Alaska ,2003,12,3364.839, Alaska 200312
Total consumption , natural gas , Alaska ,2003,11,2990.015, Alaska 200311
Total consumption , natural gas , Alaska ,2003,10,2847.611, Alaska 200310
Total consumption , natural gas , Alaska ,2003,9,2628.444, Alaska 20039
Total consumption , natural gas , Alaska ,2003,8,2667.645, Alaska 20038
Total consumption , natural gas , Alaska ,2003,7,2869.22, Alaska 20037
Total consumption , natural gas , Alaska ,2003,6,2769.405, Alaska 20036
Total consumption , natural gas , Alaska ,2003,5,2514.932, Alaska 20035
Total consumption , natural gas , Alaska ,2003,4,2589.572, Alaska 20034
Total consumption , natural gas , Alaska ,2003,3,2855.094, Alaska 20033
Total consumption , natural gas , Alaska ,2003,2,2959.804, Alaska 20032
Total consumption , natural gas , Alaska ,2003,1,3345.953, Alaska 20031
Total consumption , natural gas , Alaska ,2002,12,3117.519, Alaska 200212
Total consumption , natural gas , Alaska ,2002,11,2604.992, Alaska 200211
Total consumption , natural gas , Alaska ,2002,10,2861.309, Alaska 200210
Total consumption , natural gas , Alaska ,2002,9,2601.23, Alaska 20029
Total consumption , natural gas , Alaska ,2002,8,2481.889, Alaska 20028
Total consumption , natural gas , Alaska ,2002,7,2785.649, Alaska 20027
Total consumption , natural gas , Alaska ,2002,6,2518.495, Alaska 20026
Total consumption , natural gas , Alaska ,2002,5,2397.747, Alaska 20025
Total consumption , natural gas , Alaska ,2002,4,2561.609, Alaska 20024
Total consumption , natural gas , Alaska ,2002,3,2662.959, Alaska 20023
Total consumption , natural gas , Alaska ,2002,2,2341.985, Alaska 20022
Total consumption , natural gas , Alaska ,2002,1,2769.022, Alaska 20021
Total consumption , natural gas , Alaska ,2001,12,3234.533, Alaska 200112
Total consumption , natural gas , Alaska ,2001,11,2985.543, Alaska 200111
Total consumption , natural gas , Alaska ,2001,10,2865.081, Alaska 200110
Total consumption , natural gas , Alaska ,2001,9,2392.283, Alaska 20019
Total consumption , natural gas , Alaska ,2001,8,2574.317, Alaska 20018
Total consumption , natural gas , Alaska ,2001,7,2438.609, Alaska 20017
Total consumption , natural gas , Alaska ,2001,6,2426.609, Alaska 20016
