Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , East North Central (total) ,2009,8,42.213, East North Central (total) 20098
Total consumption , petroleum coke , East North Central (total) ,2009,7,50.459, East North Central (total) 20097
Total consumption , petroleum coke , East North Central (total) ,2009,6,51.86, East North Central (total) 20096
Total consumption , petroleum coke , East North Central (total) ,2009,5,51.95, East North Central (total) 20095
Total consumption , petroleum coke , East North Central (total) ,2009,4,51.778, East North Central (total) 20094
Total consumption , petroleum coke , East North Central (total) ,2009,3,55.415, East North Central (total) 20093
Total consumption , petroleum coke , East North Central (total) ,2009,2,44.078, East North Central (total) 20092
Total consumption , petroleum coke , East North Central (total) ,2009,1,54.412, East North Central (total) 20091
Total consumption , petroleum coke , East North Central (total) ,2008,12,62.328, East North Central (total) 200812
Total consumption , petroleum coke , East North Central (total) ,2008,11,56.703, East North Central (total) 200811
Total consumption , petroleum coke , East North Central (total) ,2008,10,59.4, East North Central (total) 200810
Total consumption , petroleum coke , East North Central (total) ,2008,9,54.498, East North Central (total) 20089
Total consumption , petroleum coke , East North Central (total) ,2008,8,57.975, East North Central (total) 20088
Total consumption , petroleum coke , East North Central (total) ,2008,7,51.56, East North Central (total) 20087
Total consumption , petroleum coke , East North Central (total) ,2008,6,58.145, East North Central (total) 20086
Total consumption , petroleum coke , East North Central (total) ,2008,5,52.673, East North Central (total) 20085
Total consumption , petroleum coke , East North Central (total) ,2008,4,55.569, East North Central (total) 20084
Total consumption , petroleum coke , East North Central (total) ,2008,3,57.669, East North Central (total) 20083
Total consumption , petroleum coke , East North Central (total) ,2008,2,57.349, East North Central (total) 20082
Total consumption , petroleum coke , East North Central (total) ,2008,1,63.094, East North Central (total) 20081
Total consumption , petroleum coke , East North Central (total) ,2007,12,57.314, East North Central (total) 200712
Total consumption , petroleum coke , East North Central (total) ,2007,11,48.04, East North Central (total) 200711
Total consumption , petroleum coke , East North Central (total) ,2007,10,23.069, East North Central (total) 200710
Total consumption , petroleum coke , East North Central (total) ,2007,9,41.107, East North Central (total) 20079
Total consumption , petroleum coke , East North Central (total) ,2007,8,56.512, East North Central (total) 20078
Total consumption , petroleum coke , East North Central (total) ,2007,7,59.713, East North Central (total) 20077
Total consumption , petroleum coke , East North Central (total) ,2007,6,57.404, East North Central (total) 20076
Total consumption , petroleum coke , East North Central (total) ,2007,5,60.095, East North Central (total) 20075
Total consumption , petroleum coke , East North Central (total) ,2007,4,53.801, East North Central (total) 20074
Total consumption , petroleum coke , East North Central (total) ,2007,3,45.885, East North Central (total) 20073
Total consumption , petroleum coke , East North Central (total) ,2007,2,56.901, East North Central (total) 20072
Total consumption , petroleum coke , East North Central (total) ,2007,1,62.746, East North Central (total) 20071
Total consumption , petroleum coke , East North Central (total) ,2006,12,58.226, East North Central (total) 200612
Total consumption , petroleum coke , East North Central (total) ,2006,11,58.535, East North Central (total) 200611
Total consumption , petroleum coke , East North Central (total) ,2006,10,61.621, East North Central (total) 200610
Total consumption , petroleum coke , East North Central (total) ,2006,9,54.014, East North Central (total) 20069
Total consumption , petroleum coke , East North Central (total) ,2006,8,56.814, East North Central (total) 20068
Total consumption , petroleum coke , East North Central (total) ,2006,7,61.811, East North Central (total) 20067
Total consumption , petroleum coke , East North Central (total) ,2006,6,55.398, East North Central (total) 20066
Total consumption , petroleum coke , East North Central (total) ,2006,5,53.433, East North Central (total) 20065
Total consumption , petroleum coke , East North Central (total) ,2006,4,46.932, East North Central (total) 20064
Total consumption , petroleum coke , East North Central (total) ,2006,3,56.955, East North Central (total) 20063
Total consumption , petroleum coke , East North Central (total) ,2006,2,54.015, East North Central (total) 20062
Total consumption , petroleum coke , East North Central (total) ,2006,1,58.569, East North Central (total) 20061
Total consumption , petroleum coke , East North Central (total) ,2005,12,62.916, East North Central (total) 200512
Total consumption , petroleum coke , East North Central (total) ,2005,11,51.405, East North Central (total) 200511
