Category,Resource,State,Year,Month,Value(thousand tons),state_year_month
Total consumption , petroleum coke , East North Central (total) ,2001,12,7.195, East North Central (total) 200112
Total consumption , petroleum coke , East North Central (total) ,2001,11,7.79, East North Central (total) 200111
Total consumption , petroleum coke , East North Central (total) ,2001,10,3.01, East North Central (total) 200110
Total consumption , petroleum coke , East North Central (total) ,2001,9,10.98, East North Central (total) 20019
Total consumption , petroleum coke , East North Central (total) ,2001,8,31.019, East North Central (total) 20018
Total consumption , petroleum coke , East North Central (total) ,2001,7,14.105, East North Central (total) 20017
Total consumption , petroleum coke , East North Central (total) ,2001,6,8.853, East North Central (total) 20016
Total consumption , petroleum coke , East North Central (total) ,2001,5,3.198, East North Central (total) 20015
Total consumption , petroleum coke , East North Central (total) ,2001,4,3.856, East North Central (total) 20014
Total consumption , petroleum coke , East North Central (total) ,2001,3,3.542, East North Central (total) 20013
Total consumption , petroleum coke , East North Central (total) ,2001,2,7.501, East North Central (total) 20012
Total consumption , petroleum coke , East North Central (total) ,2001,1,8.344, East North Central (total) 20011
Total consumption , petroleum coke , East South Central (total) ,2017,7,12.046, East South Central (total) 20177
Total consumption , petroleum coke , East South Central (total) ,2017,6,31.408, East South Central (total) 20176
Total consumption , petroleum coke , East South Central (total) ,2017,5,25.151, East South Central (total) 20175
Total consumption , petroleum coke , East South Central (total) ,2017,4,18.606, East South Central (total) 20174
Total consumption , petroleum coke , East South Central (total) ,2017,3,27.711, East South Central (total) 20173
Total consumption , petroleum coke , East South Central (total) ,2017,2,12.991, East South Central (total) 20172
Total consumption , petroleum coke , East South Central (total) ,2017,1,38.285, East South Central (total) 20171
Total consumption , petroleum coke , East South Central (total) ,2016,12,30.423, East South Central (total) 201612
Total consumption , petroleum coke , East South Central (total) ,2016,11,30.675, East South Central (total) 201611
Total consumption , petroleum coke , East South Central (total) ,2016,10,32.149, East South Central (total) 201610
Total consumption , petroleum coke , East South Central (total) ,2016,9,34.653, East South Central (total) 20169
Total consumption , petroleum coke , East South Central (total) ,2016,8,46.447, East South Central (total) 20168
Total consumption , petroleum coke , East South Central (total) ,2016,7,47.338, East South Central (total) 20167
Total consumption , petroleum coke , East South Central (total) ,2016,6,42.793, East South Central (total) 20166
Total consumption , petroleum coke , East South Central (total) ,2016,5,40.389, East South Central (total) 20165
Total consumption , petroleum coke , East South Central (total) ,2016,4,37.772, East South Central (total) 20164
Total consumption , petroleum coke , East South Central (total) ,2016,3,42.117, East South Central (total) 20163
Total consumption , petroleum coke , East South Central (total) ,2016,2,33.343, East South Central (total) 20162
Total consumption , petroleum coke , East South Central (total) ,2016,1,20.639, East South Central (total) 20161
Total consumption , petroleum coke , East South Central (total) ,2015,12,23.597, East South Central (total) 201512
Total consumption , petroleum coke , East South Central (total) ,2015,11,30.059, East South Central (total) 201511
Total consumption , petroleum coke , East South Central (total) ,2015,10,20.162, East South Central (total) 201510
Total consumption , petroleum coke , East South Central (total) ,2015,9,20.959, East South Central (total) 20159
Total consumption , petroleum coke , East South Central (total) ,2015,8,29.229, East South Central (total) 20158
Total consumption , petroleum coke , East South Central (total) ,2015,7,31.053, East South Central (total) 20157
Total consumption , petroleum coke , East South Central (total) ,2015,6,32.102, East South Central (total) 20156
Total consumption , petroleum coke , East South Central (total) ,2015,5,27.528, East South Central (total) 20155
Total consumption , petroleum coke , East South Central (total) ,2015,4,25.776, East South Central (total) 20154
Total consumption , petroleum coke , East South Central (total) ,2015,3,45.915, East South Central (total) 20153
Total consumption , petroleum coke , East South Central (total) ,2015,2,41.197, East South Central (total) 20152
Total consumption , petroleum coke , East South Central (total) ,2015,1,41.003, East South Central (total) 20151
Total consumption , petroleum coke , East South Central (total) ,2014,12,35.876, East South Central (total) 201412
Total consumption , petroleum coke , East South Central (total) ,2014,11,28.733, East South Central (total) 201411
Total consumption , petroleum coke , East South Central (total) ,2014,10,33.382, East South Central (total) 201410
Total consumption , petroleum coke , East South Central (total) ,2014,9,41.88, East South Central (total) 20149
Total consumption , petroleum coke , East South Central (total) ,2014,8,54.923, East South Central (total) 20148
Total consumption , petroleum coke , East South Central (total) ,2014,7,32.116, East South Central (total) 20147
Total consumption , petroleum coke , East South Central (total) ,2014,6,20.065, East South Central (total) 20146
Total consumption , petroleum coke , East South Central (total) ,2014,5,24.308, East South Central (total) 20145
Total consumption , petroleum coke , East South Central (total) ,2014,4,24.118, East South Central (total) 20144
Total consumption , petroleum coke , East South Central (total) ,2014,3,27.773, East South Central (total) 20143
Total consumption , petroleum coke , East South Central (total) ,2014,2,31.303, East South Central (total) 20142
Total consumption , petroleum coke , East South Central (total) ,2014,1,46.769, East South Central (total) 20141
Total consumption , petroleum coke , East South Central (total) ,2013,12,43.183, East South Central (total) 201312
Total consumption , petroleum coke , East South Central (total) ,2013,11,30.71, East South Central (total) 201311
Total consumption , petroleum coke , East South Central (total) ,2013,10,42.351, East South Central (total) 201310
Total consumption , petroleum coke , East South Central (total) ,2013,9,40.685, East South Central (total) 20139
Total consumption , petroleum coke , East South Central (total) ,2013,8,40.024, East South Central (total) 20138
Total consumption , petroleum coke , East South Central (total) ,2013,7,47.081, East South Central (total) 20137
Total consumption , petroleum coke , East South Central (total) ,2013,6,45.078, East South Central (total) 20136
Total consumption , petroleum coke , East South Central (total) ,2013,5,46.235, East South Central (total) 20135
Total consumption , petroleum coke , East South Central (total) ,2013,4,43.564, East South Central (total) 20134
Total consumption , petroleum coke , East South Central (total) ,2013,3,18.408, East South Central (total) 20133
Total consumption , petroleum coke , East South Central (total) ,2013,2,47.612, East South Central (total) 20132
Total consumption , petroleum coke , East South Central (total) ,2013,1,54.397, East South Central (total) 20131
Total consumption , petroleum coke , East South Central (total) ,2012,12,56.792, East South Central (total) 201212
